,Episode Title,Bob Count,Hi Bob Count,Drinks
0,S01E17 The Man with the Golden Wrist,61,3,67
1,S02E20 Mind Your Own Business,60,2,64
2,"S02E10 I'm Okay, You're Okay, So What's Wrong?",61,1,63
3,S02E13 My Wife Belongs to Daddy,60,1,62
4,S03E09 Ship of Shrinks,58,2,62
5,S01E10 Anything Happen While I Was Gone?,60,0,60
6,S01E06 Come Live with Me,54,2,58
7,S03E14 Serve for Daylight,51,2,55
8,S01E18 The Two Loves of Dr. Hartley,52,1,54
9,S03E24 The Ceiling Hits Bob,50,2,54
10,S03E01 Big Brother Is Watching,40,7,54
11,S03E04 The Separation Story,49,2,53
12,"S03E08 Brutally Yours, Bob Hartley",45,4,53
13,S06E01 Bob's Change of Life,45,4,53
14,S02E08 Mister Emily Hartley,52,0,52
15,"S02E16 Oh, Brother",50,1,52
16,S05E20 Taxation Without Celebration,44,4,52
17,S05E24 You're Having My Hartley,49,1,51
18,S02E02 Motel,47,2,51
19,S05E15 The Ironwood Experience,47,2,51
20,S02E03 Backlash,50,0,50
21,S01E08 Don't Go to Bed Mad,48,1,50
22,S02E01 The Last TV Show,48,1,50
23,"S01E03 Tennis, Emily?",46,2,50
24,S01E13 I Owe It All to You... But Not That Much,47,1,49
25,"S02E11 Fit, Fat and Forty-One",47,1,49
26,S01E09 P.I.L.O.T.,45,2,49
27,S02E15 I'm Dreaming of a Slight Christmas,45,2,49
28,"S05E06 Et Tu, Carol?",45,2,49
29,S05E18 The Heartbreak Kidd,44,2,48
30,S02E23 Confessions of an Orthodontist,42,3,48
31,S02E07 Old Man Rivers,45,1,47
32,S01E20 A Home Is Not Necessarily a House,43,2,47
33,S02E06 Have You Met Miss Dietz?,41,3,47
34,S01E15 Let's Get Away from It Almost,44,1,46
35,S03E22 Bob Hits the Ceiling,44,1,46
36,S04E10 Seemed Like a Good Idea at the Time,42,2,46
37,S04E16 No Sale,42,2,46
38,S04E11 Over the River and Through the Woods,40,3,46
39,S03E17 Think SmartlyVote Hartley,43,1,45
40,S02E05 Emily in for Carol,44,0,44
41,"S05E11 Here's to You, Mrs. Robinson",36,4,44
42,S05E21 Desperate Sessions,36,4,44
43,"S01E05 Goodnight, Nancy",41,1,43
44,S04E06 Carol's Wedding,41,1,43
45,S01E16 The Crash of Twenty-Nine Years Old,38,2,42
46,S03E06 The Grey Flannel Shrink,38,2,42
47,"S01E21 Emily, I'm Home... Emily?",36,3,42
48,S04E04 Change Is Gonna Do Me Good,39,1,41
49,S05E02 Caged Fury,39,1,41
50,S01E19 Not with My Sister You Don't,35,3,41
51,S05E01 Enter Mrs. Peeper,35,3,41
52,S06E20 Carol Ankles for Indie-Prod,35,3,41
53,S03E18 The Way We Weren't,38,1,40
54,S03E19 A Pound of Flesh,38,1,40
55,S03E12 We Love You... Good-bye,36,2,40
56,S04E09 Who Is Mr. X?,32,4,40
57,S05E10 Jerry's Retirement,30,5,40
58,S03E13 Jerry Robinson Crusoe,37,1,39
59,S01E22 You Can't Win 'Em All,35,2,39
60,S03E21 The New Look,35,2,39
61,S04E01 The Longest Good-bye,35,2,39
62,S04E07 Shrinks Across the Sea,35,2,39
63,S01E24 Who's Been Sleeping on My Couch?,36,1,38
64,S02E17 The Modernization of Emily,36,1,38
65,S03E03 The Great Rimpau Medical Arts Co-op Experiment,36,1,38
66,S03E23 Emily Hits the Ceiling,34,2,38
67,S03E10 Life Is a Hamburger,35,1,37
68,S05E07 Send This Boy to Camp,35,1,37
69,S03E20 My Business Is Shrinking,33,2,37
70,S05E17 Halls of Hartley,33,2,37
71,S01E12 Bob and Emily and Howard and Carol and Jerry,28,4,36
72,S05E22 The Mentor,35,0,35
73,S06E13 Freudian Ship,35,0,35
74,"S01E04 Mom, I L-L-Love You",33,1,35
75,S04E05 The Heavyweights,31,2,35
76,S01E11 I Want to Be Alone,29,3,35
77,S02E12 Blues for Mr. Borden,29,3,35
78,S02E04 Somebody Down Here Likes Me,32,1,34
79,"S04E08 What's It All About, Albert?",32,1,34
80,S04E18 Warden Gordon Borden,28,3,34
81,S04E24 Peeper Two,26,4,34
82,S05E05 The Great Rent Strike,31,1,33
83,S06E07 My Son the Comedian,29,2,33
84,S01E23 Bum Voyage,32,0,32
85,S02E22 By the Way... You're Fired,30,1,32
86,S03E16 Tobin's Back in Town,30,1,32
87,S06E12 'Twas the Pie Before Christmas,28,2,32
88,S06E22 Happy Trails to You,28,2,32
89,S04E21 Guaranteed Not to Shrink,26,3,32
90,S01E07 Father Knows Worst,24,4,32
91,S06E03 A Jackie Story,31,0,31
92,S06E06 A Day in the Life,31,0,31
93,S04E13 The Article,29,1,31
94,"S04E15 Bob Has to Have His Tonsils Out, So He Spends Christmas Eve in the Hospital",27,2,31
95,S04E22 Birth of a Salesman,25,3,31
96,S04E03 Death of a Fruitman,28,1,30
97,S02E19 Clink Shrink,29,0,29
